証券コード,EDINETコード,提出者名
41930,E36213,株式会社アピリッツ
40180,E36261,株式会社ファブリカホールディングス
41750,E36312,株式会社Ｇｅｏｌｏｃａｔｉｏｎ　Ｔｅｃｈｎｏｌｏｇｙ
41730,E36322,株式会社ｃｏｌｙ
41770,E36323,株式会社ＷＡＣＵＬ
41780,E36343,株式会社ｉ－ｐｌｕｇ
41800,E36366,株式会社Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ
41790,E36372,Ａｐｐｉｅｒ　Ｇｒｏｕｐ株式会社
41920,E36398,株式会社ジーネクスト
92350,E36410,スパイダープラス株式会社
40720,E36421,売れるネット広告社グループ株式会社
41940,E36460,株式会社電算システムホールディングス
41960,E36484,ビジョナル株式会社
41980,E36532,株式会社ネオマーケティング
40690,E36637,株式会社テンダ
40680,E36653,株式会社ＢｌｕｅＭｅｍｅ
41990,E36660,株式会社日比谷コンピュータシステム
40730,E36661,ワンダープラネット株式会社
40740,E36666,株式会社ジィ・シィ企画
92400,E36708,株式会社ラキール
40750,E36711,株式会社デリバリーコンサルティング
43760,E36722,ブレインズテクノロジー株式会社
43700,E36733,株式会社くふうカンパニーホールディングス
40760,E36795,モビルス株式会社
42640,E36840,株式会社シイエヌエス
43710,E36859,株式会社セキュア
43740,E36897,株式会社コアコンセプト・テクノロジー
43720,E36901,株式会社ＲＯＢＯＴ　ＰＡＹＭＥＮＴ
43730,E36905,ユミルリンク株式会社
42700,E36928,シンプレクス・ホールディングス株式会社
43770,E36937,株式会社ＢｅｅＸ
43750,E36944,株式会社ワンキャリア
43780,E36946,セーフィー株式会社
43790,E36989,株式会社ＣＩＮＣ
44120,E37060,株式会社Ｐｈｏｔｏｓｙｎｔｈ
92520,E37095,株式会社サイエンスアーツ
42550,E37098,株式会社ラストワンマイル
44150,E37105,ＴＨＥＣＯＯ株式会社
44140,E37115,株式会社ブロードエンタープライズ
42610,E37130,株式会社フレクト
44130,E37131,アジアクエスト株式会社
44160,E37133,株式会社ボードルア
44170,E37146,株式会社Ｔｒｕｅ　Ｄａｔａ
42590,E37147,グローバルセキュリティエキスパート株式会社
92540,E37158,株式会社エクサウィザーズ
42580,E37159,株式会社ラバブルマーケティンググループ
44180,E37160,株式会社網屋
42600,E37175,株式会社ＪＤＳＣ
73830,E37192,株式会社ハイブリッドテクノロジーズ
92580,E37194,株式会社ネットプロテクションズホールディングス
42620,E37199,株式会社ＣＳ－Ｃ
42630,E37206,ニフティライフスタイル株式会社
42650,E37207,サスメド株式会社
50310,E37222,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ株式会社
42670,E37333,モイ株式会社
50250,E37358,株式会社ライトワークス
50260,E37398,エッジテクノロジー株式会社
50270,E37458,株式会社トリプルアイズ
51250,E37466,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ株式会社
41970,E37482,株式会社ファインズ
50280,E37502,株式会社アスマーク
92180,E37506,セカンドサイトアナリティカ株式会社
281A0,E37508,株式会社メンタルヘルステクノロジーズ
50290,E37563,インフォメティス株式会社
50350,E37603,サークレイス株式会社
50340,E37795,株式会社ＷＯＷ　ＷＯＲＬＤ　ＧＲＯＵＰ
50360,E37815,株式会社ｕｎｅｒｒｙ
50380,E37833,日本ビジネスシステムズ株式会社
51260,E37902,株式会社ｅＷｅＬＬ
50390,E37939,株式会社グッピーズ
51290,E37950,株式会社キットアライブ
51310,E37959,株式会社ＦＩＸＥＲ
51320,E37987,リンカーズ株式会社
